labels,cleaned_comments
negative,заебал менять аккаунты
neutral,говорю чонхо король вокала вру говорю лишь факты
neutral,смыл норм
neutral,типа это должно неудобно удобно
skip,правда блять люблю аниме пришла твиттер сегодня конченным настроением итоге улыбаюсь смеюсь плачу смеха
positive,мэкачина прикольно
positive,скорость тырнета билайне голова кружится
positive,ещё посмотрела отлично
negative,народ лучшие люди народа плевали любого гетьмана
positive,любовь тобой луны
neutral,села
negative,класс дел день успела заняться хуйней продуктивность
negative,путешествую собачница коты воняют своенравны это мной
negative,сетчатка стала тоньше возможно нужно делать операцию
skip,милый смущающийся котенок боже люблю
negative,жаль
positive,знакомы работами евгения винокурова слов описать какие чувства вызывает поэзия
neutral,всё нормально
positive,гармин порадовал улучшил время прохождения 40км минут мая месяца
skip,точно будешь
positive,такие прекрасные буду плакать
neutral,накупила дохуя еды жду ильнура сама дотащу
positive,урра одна
neutral,соседу гости солью сходить краснея признаться добегу
negative,видели творят nct127 punch
negative,сука охуевшая буллят жертва наша любимая завались позорься
positive,понимаю солнце прекрасно понимаю
neutral,россии отменен банковский роуминг
negative,понимаю полном серьезе пытаешься тягаться мной своим тупым юмором очнись
positive,мясо просто снос башки
skip,ахахахвхажвхаза
neutral,зеленский дал дня принятие закона продаже земли
negative,вонючку звука смотреть обосраная тварь
negative,знаю вашу терминологию лжелевые вижу одно реально минске майданчик типу украинского всё
skip,думаю каждый мной общался дольше одного дня сказал лика блять моё имя блять это синонима
neutral,мертвецы вэй усяня слышат зов чэньцин
negative,просто нахуй иди
skip,это могли против метисации
negative,вопрос тех шарит это певучие тембр норма большинства просто вокабери говно
positive,зато сможешь вечером насладится всей прелестью эпизода
neutral,сильно гуляла
neutral,ага пойдёт мару японском заканчиваются названия судов
neutral,очень сомнительное чувство юмора
skip,све
skip,хөөе мардай гуай хөргөгчинд байсан өргөлийн архи хэн уучиваа чихшиг намайг түрүүн өргөл өргөхийг хараагүүм байхдаа сониен
neutral,хочется почувствовать молодой клубе молодых
neutral,вакансия менеджер интернет магазина
skip,послушала dax4 день сто блять
neutral,поэтому готова стать кактусом
skip,ахахахахппхххп
neutral,русский зимний футбол
speech,доброй ноченьки
neutral,продам землю сот 300000 руб красноярск днт солнечная поляна емельяновский
negative,поверь посрать задача насрального продвигать это делают
skip,сша жил думаю миллионер
negative,угадайте проспал мире
neutral,хочу куклу барби большая
skip,ганц хоноод буцна гэсэн жил болчихсон хүмүүс бдаг
positive,чувствую максимум ахуенно желаю всем хорошего настрояния всякого хорошего чамого всем споклйной ночти
negative,страшно создавать контент зная существует пиздняков армия уебанов
skip,херасе
positive,аппетитный бугорок мммм
neutral,погуглите синдром беспокойных ног попробуйте калий магний попить
speech,спаси бог
skip,гол обектоо харсан бол
negative,надеюсь ноги утром умрут
neutral,веке зверька капибару грызуна ведущего полуводный образ жизни объявили рыбой мясо время постов
positive,катя телевизоре солнце
neutral,кремле думали леса горят это бомбы ленина это оказалось лдпр
neutral,это значит
neutral,фотографируюсь последнее время
neutral,другом патологоанатома пациентом
neutral,пиши делов
neutral,границах проверяют наличие неоплаченных штрафов
positive,ааааа это красиво очень приятный голос
positive,отлично буду кушоть
skip,гламур фотошоп наши меркель монетизация валуев пробки помощью
speech,спасибо
neutral,проект постановления администрации мирного
skip,женского гетеро мужское
negative,знаю кого бояться
positive,sao ggo ключевое оружие загадочного киллера пистолет
neutral,боже
neutral,слушаю любимую песню нст тыщу лет включаю начинаю плакать первых секундах
neutral,мяу новыйаватар
speech,спасибо
speech,удачи павочан
neutral,кинь телегу
neutral,пойду посмотрю бога старшей школы
neutral,выбери подошло
skip,сама вчера писала типа будьте спокойны сегодня написала жалобы моего спокойствия хватило дня
positive,притом первый маори получивший оскар данной категории невероятный просто
negative,приду домой поплачу
neutral,решил сменить ориентацию забыла тебе андрею нагрубила wtf
neutral,собрала шкатулки
neutral,чувствую многое пропустила произошло нст тег загадочный минуту тви уйти
positive,смело могу назвать своей подругой вообще очень люблю
neutral,должен реагировать здоровый мужчина злые сплетни нем
neutral,удивительно вся страна друг друга спрашивает
positive,жопа мечты
negative,понял похуй
negative,начало конца нефтяной иглы
negative,смерть пиндосам
negative,нахуя идти оформление окрашивание бровей могу дома блять общипать половину волос жалеть
negative,убийстве девочки москве подозревается подросток который покончил собой
neutral,тупо зажгу свечу сяду читать слово походе игоря идти спать рано готова
neutral,поисковике твиттера
neutral,каких основаниях
positive,сонхва кино таком могла мечтать просыпаешься утречком тхт кино зарулят сыграю ящик
neutral,это последних синглов
positive,всё гениальное просто
negative,blog alexandra mazunina сдали крым живут акимов зубков аксен
positive,пью адреналин сырок кокосом чувствую счастливой
neutral,хотела сделать собиралась помню
neutral,верно лана поменяемся
skip,женщина индивидуальность персонажки проработка образа мужик подрочить
skip,ноги
skip,эхнээсээ хариулт иржээнэ
speech,марта мои любимые сильные зависимые честь тех девушек борющихся права девушек
negative,смотрю цену года ординатуры нахуй вашу вышку
negative,наша историчка назвала весь класс лучшая учительница
neutral,смысле это седрик
skip,нуруугаа угаалганаа муу моньдоор ккк
neutral,блин научи
neutral,это волочкова
negative,понравится кидайте тапки
neutral,хочу попробовать вов поиграть
negative,юра проебали фильм 2020
skip,прямом судя фразе выше
neutral,штож жду
neutral,это социальный конструкт
neutral,злите сергея валерьевича
skip,итс нагито комаэда нинтендо диэс
negative,когспекты анатомии писата времени мало осталось вообще тооолько начала делать блиннннннн
neutral,цепляйте ник переписке мной ник переписке
skip,хочу хочешь тебе трудно буду
neutral,надеюсь встречусь своей девушкой
positive,вместе практикуетесь
skip,ааааааа спизидла немного изменила федорбасманов
positive,классная
speech,спасибо
negative,ненавижу господи срань
neutral,читала подумала
neutral,опубликовано фото
positive,память возвращается динамика положительная
negative,почему вообще вопрос возможность отказа
neutral,представьте хуа чена серьгой
neutral,билл гейтс покинул совет директоров майкрософт планирует посвятить свободное время филантропии
skip,диан уссалась
negative,одно другое кроме москвы дно
neutral,угадала
neutral,выглядит потомство кота самым нестандартным окрасом
neutral,прощай
neutral,листья березы природа якутия
positive,года выпуска прости господи
neutral,очередь россии
positive,парад честь годовщины победы прошел донецке фото
skip,слава богу тип просто женские ноги всё прочее алексей
negative,русофобия следствие причина русофобии сожалению имперские власовские замашки кремля
positive,могу играть пока море очень плохой интернет приеду домой дне поиграем
neutral,отправлю своему будущему парню
negative,итак часа ночи выяснили оставила свой мозг 2017
neutral,чём ездит
positive,купила рубашку девочки
positive,ентернет обнимашки
skip,довайти
negative,рано встает убирает дерьмо кота лотка
neutral,узнал это сном
neutral,откуда знаешь большой опыт
negative,помер
neutral,крымский флот проводил весну прибавкой
skip,божечки
neutral,ладно
negative,поставить toefl декабрь прокрастинировать написанием тупых эссе месяц четыре
neutral,знаю думаю звание дедов могут тохошинки побороться
neutral,bbc news русская служба британские медики внезапная потеря обоняния симптомом коронавируса
negative,спала часа наверное поэтому лягу ещё
skip,электрошок включать каждой кнопке которая учавствует видео
negative,спасибо пороху сдержал агрессию кремля дал дебилам педораши захватить украину
negative,постоянно кидаешь картинки орущими персами это воспринимать
skip,ору
neutral,согласился просто сериал
neutral,прохладная ночь
neutral,вообще писать
neutral,взяли интервью программы сказать горячим следам
positive,господи искренне прошу прощения это скучно
positive,всем хороших
negative,такая поебень моей деревне каждый день
negative,надоели шашлычники
skip,уйдут год
positive,сидим подругой фейсу вспоминаем наши старые кпопские деньки омг
positive,кажется волну начали шиперы остальные просто подхватили
neutral,стоп глаз
positive,вспомнила сис делали маме сюрприз
neutral,равно
positive,королевы
neutral,нажала
negative,охуевшая
positive,воздушный
neutral,понедельник
negative,нами
neutral,интересно мораль
neutral,мое единственное желание жизни
positive,пойду гулять папужками слишком красивые
positive,заверните собой пожалуйста
neutral,пандемия это ребёнок строит кукол домик больницу
positive,сладкий считаю уведомление спотифая очень интересное
negative,зашибись заболело горло
neutral,поменяла мнение
neutral,жиза
negative,эличка какого хуя тред удален качели настроения занят упустил
negative,авторка твита додумала употребление слова проститутка оскорбления женщин оскорбилась особенного
negative,хочу целоваться
negative,умерла
neutral,гранатовый
negative,настроение оказаться чистилище
neutral,обязательно очереди халат пока
neutral,всё полетел
neutral,пак чимина
neutral,китай подтвердил сомнения лунной программе аполлон америки предоставил факты
skip,всмысле ахуенно больно аааа
positive,вааауу
neutral,мешает счастью личной жизни построить отношения психолог
positive,знаешь круто сны это бесплатно
neutral,всё забудьте
skip,чаму беларусы спяшаюцца ненавідзець тоўстых буржуяў здаецца нават наадварот
skip,котиков одриосолу дождь
positive,хорошая девушка это большие сиськи длинные ноги хорошей
neutral,понял реально людям нравятся смотреть человек ест камеру
negative,арми устроили бунт
negative,нихрена сопливые твиты прихожу сюда пиздострадать
skip,поутру улыбкой мир прими болью злом всеми пидарасами seal
negative,окей гугл найти интернет друга пару часов
negative,арест вагнеровцев беларуси могут отключить интернет возможных провокаций
neutral,интересно повзрослеет
positive,inktober2020day4 дне сих пор сдалась удивительно
neutral,горячая мамочка девушкавпостели
neutral,нужна ссылка
positive,ешь рыбу встретимся приготовлю тебе молоки пузырь будешь первооткрывателем
negative,это плюс множество минусов
skip,час тебе спинку чесать ладно камон
negative,начала читать кьюриосити кажется это плохая идея хочу реветь главе ненавижу реветь
speech,итак пойду спать всем спокойно ночи надеюсь приснятся классные сны стекла целую
positive,это идея
neutral,новый глобальный опрос показал другую статистику 136
neutral,слово
speech,спокойной
speech,красавчик удачи тебе праведном деле
skip,тыгыдык тыгыдык тыгыдык тыгыдык тыгыдык тыгыдык тыгыдык
neutral,нос
neutral,монтаж гипсокартона любой
speech,спасибо
positive,знали фанатка знаете
negative,представляете мама бесит своим живут аааааааарррррррррр бесит
skip,полин
negative,неет недавно слушала неет кажется выбора
neutral,знаю сава хотел просто узнать твой боевой дух месте
neutral,брюсселе установили мемориальную доску евродепутату сайеру которого задержали
skip,нөөц шавхагдашгүй хүндээ
negative,сама
neutral,старинная поговорка рыжий красный человек опасный
speech,спасибо
positive,гений
skip,хэн байгуулсийм
neutral,красиво накраситься кинуть фотку инсту
neutral,полноформатном альбоме трэжер мичоганэ
skip,бокуто
positive,ловить краши 30летних клево
neutral,грань хотел вывозил
negative,вашей одноклассницей захейтили
skip,мишек сисек хватает пока пойму именно
positive,обоюдному забыла
neutral,жду твоих сообщений
negative,пассивная агрессия софт людей
negative,верите самой лживой суке расеянского пропагандонства серьезно
positive,круто
negative,иначе останутся зарплатой 20к вместо 21к бездельники
neutral,суперстар фнс
neutral,это флирт
neutral,пайки появились позднее ближе перестройке парткома профкома
negative,ещё онф скрыться хотят едрестня онф пройдут
neutral,приснилось завела
negative,сука ненавиду интернет
positive,прекрасная работа актерского состава депутат смакотин фильме шугалей
skip,мяяяяя мяяяяяяяя
negative,везде искала
neutral,порядок причем больничный распорядок внутри свои групки свои негласные правила
negative,приехали приплыли сделала чуваку тест вич оказался положительным охуела чел охуел врач охуел
negative,кажется разговаривал инстаграмщиками просто кокаине
neutral,весь комплект ещё это
neutral,вроде классно заходить подолгу лень читать перечитывать ленте
negative,особенного просто накопленные проблемы внезапно рухнули такому готова
neutral,почему иная тьма недоступна kingsraid
neutral,вспомнил пацанские споры
positive,капец крутые
neutral,стоп думала
negative,охтыжблять
positive,капюшон которым могут согреться две головы который является отличным прикрытием нежных поцелуев морозе
neutral,всм почему белка ничо сказала
negative,сил обосраться подносом штаны сегодня
neutral,пошла ибо подумала
positive,охонь баба удачи тебе
skip,пассивный злодей
neutral,карие глаза красные считать натуральный цвет темно русые
neutral,чизкейк готовила химию решала
neutral,исключением первой фотки
neutral,смогу
positive,блин это реально классно надеюсь получится
negative,жуткие жертвы приходится идти ради спасения мира
neutral,коричневые персонажи почему сих пор вижу коричневых персонажей
skip,вроде понравилось вроде
neutral,предложили выйти замуж
negative,обязательно нужно ради умереть
neutral,даа
neutral,интровертка последние месяцев сидела дома
negative,это осенью
neutral,секунда
negative,лишь винтик это ебланское государство
skip,коллаб
neutral,одежду перекрасить
neutral,фсёёё
negative,носки разыгрывали ебанину твиттер несли
speech,спасибо
neutral,английской версии хаос
neutral,проходят швм тольятти
positive,это заржал квартиру
neutral,лвпг аааа верится
speech,всем доброе утроооооо
skip,втфффф сладкий
skip,объесться человек
neutral,всем привет умею кратко общаться преподами устраиваю ними целый чат почте
negative,биполяр очка человека
positive,отлично счастлива
neutral,ночь августа ясно влажность ветер западный курск
neutral,театр погулять металлургов соцгороду набережная левом сходить грузинский рестик
negative,плохо
neutral,казахстанский исполнитель рассказал увидел фотографии врачей социальной сети weibo
neutral,скрываешься тени скромной жизни
neutral,нечего
positive,взгляд самую душу
neutral,нюдсочетверг стреляю шашлык вместе
skip,боже
neutral,ссср
negative,задолбалась биться бошкой входе выходе маршрутке
positive,вета честно знаю это знаю точно намного красивее
negative,температура подтянулась это чувствую сука
negative,это финал думали умер финал
neutral,хансоль ниче нового
skip,уведы самых
neutral,деятельности смыслит судя сумме
positive,тихо гыгыкаю сторонке
skip,знам мисля
neutral,ладно
skip,шими шими кокобап синк лайк дальше помню
neutral,традициям привязаны крепко
skip,тэхенааа
negative,песни становятся похожи секту
negative,черту отношения последнее время хочется раньше посидеть девочками
neutral,греть тазике
neutral,майнкрафта
negative,чёт ебано пиздец
skip,очень слишком слишком чана бывает
negative,радфем ебанутые
neutral,первое вряд насчёт второго уверен
negative,пневмония бессонница нервозность депрессия расщипление личности импотенция желание умереть всё это лет жесть
neutral,хочешь найти нам третьего сладкого мальчика
neutral,васильев моргенштерн сдали тесты определение родства новости россия подробнее
positive,вообще прибалдела рекламы такая асмрная единственная реклама которую бомбило
skip,нот бэд
neutral,буквально
negative,десять монашка
negative,страшно
negative,карабах воевали армения азейбарджан контроль передали российским войскам чему радоватся
neutral,вао вошел тройку безопасных округов москвы 2019 году
positive,умираю облжаю песнб
positive,верю
speech,поздравляю
neutral,сдаю квартиру этаж 9000 руб краснодар
negative,кошмар
neutral,это секси
neutral,выше 168
positive,сколько говорил чужды нежность любовь хватает крепкого теплого человеческого объятия
neutral,просто устала прятать
skip,улсын үйлдвэрийг хувьчилж авах тэгээд шудрагадаа орохгүй улсын үйлдвэр хэзээ ашигтай ажиллаж байлаадаа
speech,кушай кашу расти большой сильной
negative,насколько целесообразным приклеитьна клей клавиатуре расхуячила пздц
neutral,нормальная фотка
negative,ахерел проорал тупости это выдал вообще видели ересь
positive,время хорошего настроения просто послушав пару композиций туда зарядиться пол дня грустью гений
positive,сразу видно интеллигентный сотрудник милиции видео болот ибрагимов
neutral,выйти фандома каратов
negative,мужчина погиб навашинском районе падения дерева
neutral,маск rusvesna video прототип межпланетного корабля илона маска взорвался испытании двигателя видео
positive,здоровье бесплатно мешки ворочаю
negative,первой неделе назад
negative,понимаю это пережить киеве мужчина стал жертвой коронавируса ретвит
speech,пасиба
negative,ауди ещё ездить ездить варвары
neutral,екскьюз вообще слышала
positive,выглядит забавно
skip,мэдкүдээ биш албаар тэгжигаам штээ тэрий өөрөө мэдэхгүй байх шиг
negative,нихуя вижу либо обе либо закрытка
positive,зелёный горошек году редкость крупный уродился
positive,принципе комфортно сама собой веду беседу
negative,головой люстру ударилась
neutral,встретиться
negative,изрезались шляпе 100 изрезали
neutral,стартовал прием заявок конкурс гармонии природой amp волгоград природаиэкология
negative,уссатому влагалищу носом необходимо срочно ввести это говно непосредственно башку
negative,трубой волнами скоро будешь мусульманами
speech,днём странных чуваков оленей
neutral,американские тягачи мечта любого дальнобойщика
positive,гордись
neutral,должно
positive,плизз скажите идеал твиттерской хочу вашим
positive,пойдем тобой всем крафтовым барам рюмочным
neutral,просто выспалась рэй просто сдастся уверена захомутает мужика хочет хочет
skip,хажууд өөр лал бхгүй бол уух байтугай гахай иднэ
negative,нам всем немного
skip,знаю
neutral,джон кларку
positive,чувак фотке понимаем друг друга полубуквы
skip,төмөр замгүй байгаа хэний буруу
skip,мидкү үзсэн биш
positive,ура рисую
neutral,мужчины скинь нюдс пазязя мужчина скинь фото наших детей пожалуйста
skip,пыталась засунуть твою страсть странным штукам одно слово мозг предложил червяки подумала почему
positive,бля оруу
neutral,1991 году ввели
positive,хотелось увидеть
negative,реветь реветь
negative,могуууу большеееее
negative,дебилка забыла соль тесто оно пресным
positive,onepiec понятия автор это божественно
positive,мама купила крекеры поэтому наслаждаюсь сэндвичами маршмеллоу нехватает шоколада
neutral,цик выдвинула члены горизбиркома петербурга главу курортного района наталью чечину
neutral,полллностью солидарен
skip,включаем камеры встаём напротив начинаем приседания затем прыжки
speech,люблю спасибо
neutral,представлен короткий список номинантов премию kinonew 2020
positive,полном серьезе считаю песню самой лучшей альбоме
neutral,арония черноплодная рябина сад
negative,концепт пить вино одиночестве ночью кухне сидя компьютерном кресле укутавшись плед слушать pet cheetah чувствовать
neutral,вспомнила завтра курьер
neutral,такая паника лет решила скачать чит аватарии итоге весь ноутбук забит
negative,пишет думаю это специально умаляют роль медицинских масок могут ими обеспечить
positive,вполне годная шутка
neutral,правда выбрала люблю голове трепать людей ладно
negative,столько людей смотрят квн удивлён смотреть павелвольню прочую пельменятину
skip,это яяяяя азвхазаха ещё терпит
